Center_x,Center_y
679.434,228.469
679.438,228.452
679.418,228.395
679.416,228.391
679.411,228.393
679.332,228.396
705.888,224.64
705.888,224.64
679.968,228.096
679.978,228.089
705.888,224.64
697.248,228.096
697.248,228.096
697.248,228.096
697.254,228.1
697.248,224.64
697.248,224.64
697.25,224.634
697.248,224.64
697.248,224.64
697.248,224.64
697.252,224.641
705.888,224.64
705.894,224.637
705.888,224.64
705.888,224.64
705.888,224.64
705.888,224.64
705.888,224.64
705.763,224.5
705.536,224.454
705.504,224.37
705.21,224.341
705.016,224.323
705.005,224.322
704.885,224.269
704.865,224.085
705.888,224.64
705.895,224.458
714.528,228.096
714.528,228.096
714.521,228.066
714.528,228.096
714.528,228.096
714.528,228.096
714.62,228.036
714.607,228.039
714.725,227.905
714.728,227.887
714.96,227.861
714.958,227.866
715.161,227.852
715.157,227.846
715.359,227.848
715.377,227.89
715.377,227.896
715.563,227.897
715.79,227.786
715.796,227.785
716.028,227.805
716.039,227.81
716.201,227.896
716.326,228.074
716.429,228.171
716.542,228.375
670.81,228.096
670.903,228.094
671.21,228.335
671.431,228.571
671.679,228.616
671.973,228.629
672.224,228.665
698.5,228
698.721,228.011
679.968,228.096
712.282,232.243
712.524,232.055
712.73,231.874
713.031,231.866
713.146,231.788
723.168,228.096
723.168,228.096
723.454,228.088
723.748,228.019
723.971,228.021
724.217,228.02
724.377,228.023
724.67,228.012
724.928,228.048
725.095,228.111
725.366,228.374
725.586,228.544
703.44,227.52
714.528,224.64
714.528,224.64
714.782,224.987
688.608,228.096
688.608,228.096
688.608,228.096
688.608,228.096
688.608,228.096
688.797,228.445
688.911,228.688
714.528,228.096
688.608,231.552
688.608,231.552
688.608,231.552
688.812,231.839
688.939,232.108
688.947,232.359
688.985,232.585
689.042,232.866
689.122,233.118
689.111,233.451
689.33,233.713
689.37,234.059
689.448,234.325
689.562,234.58
689.511,234.706
689.506,234.969
689.467,235.069
689.354,235.169
689.085,235.2
689.072,235.198
688.877,235.27
688.606,235.265
688.467,235.288
688.393,235.281
688.385,235.281
688.325,235.288
688.237,235.269
688.225,235.274
688.223,235.276
681.178,236.39
681.203,236.407
681.207,236.403
681.2,236.415
681.208,236.465
681.178,240.538
681.178,240.538
681.074,240.675
681.178,236.39
681.219,236.413
681.243,236.635
679.968,241.92
688.608,238.464
688.701,238.623
688.701,238.63
688.698,238.672
688.608,238.464
688.608,238.464
688.569,238.438
688.608,238.464
688.508,238.413
688.418,238.414
688.408,238.246
688.4,238.235
688.082,238.229
687.79,238.213
687.419,238.162
687.384,238.135
687.151,238.085
686.926,238
686.632,237.858
686.405,237.861
686.181,237.854
685.978,237.852
685.695,237.85
685.473,237.844
685.395,237.871
685.197,237.883
723.168,238.464
723.023,238.534
722.821,238.722
722.661,238.91
722.355,239.119
722.184,239.258
722.018,239.37
721.674,239.607
721.368,239.692
679.968,238.464
679.968,238.464
679.968,238.464
679.683,238.673
679.968,238.464
696.24,239.04
696.24,239.04
696.178,239.231
695.955,239.252
695.735,239.255
695.734,239.253
695.461,239.192
695.409,239.162
679.968,238.464
679.95,238.461
696.24,239.04
696.239,239.039
696.229,239.046
697.248,235.008
697.409,235.005
705.888,235.008
705.888,235.008
705.925,234.729
705.939,234.449
705.942,234.095
705.962,233.841
705.972,233.559
706.018,233.334
706.035,232.961
706.09,232.499
705.888,231.552
705.849,231.275
705.845,231.059
705.905,230.502
705.889,229.963
705.933,229.443
697.248,231.552
705.888,228.096
705.885,227.35
671.328,235.008
679.968,228.096
670.81,228.096
670.81,228.096
670.81,228.096
670.81,232.243
671.328,231.552
671.41,231.039
679.968,224.64
679.965,223.994
670.81,223.949
670.81,223.949
703.5,224
679.968,221.184
680.019,220.471
696,214.5
696,214
696,213
696,213
705.109,217.379
705.401,217.025
705.445,216.804
705.465,216.602
705.464,216.605
697,211.5
697,211.5
697,211.5
697,211
697,211.5
711.551,216.121
711.547,216.314
696.96,218.88
697,212.5
697,212.5
698,213
698,213.5
698,213.5
698,215
684.46,217.938
684.766,218.396
685.164,218.825
685.493,219.168
685.929,219.598
686.194,219.881
686.452,220.243
686.799,220.548
687.05,220.927
684.288,228.096
673.92,224.64
674.406,225.108
674.702,225.58
675.013,226.069
675.449,226.37
684.288,228.096
684.585,228.331
684.894,228.685
685.245,228.958
685.635,229.152
686.012,229.363
708,230
708,230
684,230
690,230
684,230
666,226
690,230
708,232
708,232
708.405,232.3
684,230.4
684,230.4
684.368,230.389
694.656,231.552
684,230.4
684.148,230.39
694.656,231.552
